,AlphaName,SP,Pro Daily Mean,Pro Total
0,alpha160,0.9515279095190063,0.0011855059410366246,1.36005566508536
0,alpha161,-0.3169031336691824,-0.00031690951280811524,0.838586582778836
0,alpha162,-0.670808670562502,-0.0008086204137130789,0.7563755502735985
0,alpha163,1.4978405350092037,0.0014866026638419411,1.5674101646003633
0,alpha164,0.5834406593778177,0.0006175804287952172,1.156172461806502
0,alpha165,0.15984680986612862,0.00016101763830726886,0.9944447869738158
0,alpha166,0.5838170218629355,0.0008493588682460913,1.1608996757217542
0,alpha167,-0.5704322111345794,-0.0006100526222969573,0.7490180054752438
0,alpha168,0.27616319537032213,0.00029428054591852345,1.0303609024748528
0,alpha169,0.9839097939918992,0.0008147689416843325,1.2610418858378099
0,alpha170,-1.723837275283444,-0.0018159127326204552,0.49926521290213943
0,alpha171,-0.6922803575343679,-0.0008597323407881618,0.6609773779810827
0,alpha172,0.21638047912986327,0.00021342565154983532,1.0125014137124428
0,alpha173,0.35917074031083024,0.00039733384038647594,1.064538022776426
0,alpha174,1.186592485269447,0.0014777834304648269,1.501647494632016
0,alpha175,-0.6696314421416667,-0.0006780514154366535,0.7336139992766418
0,alpha176,-1.4164022083586878,-0.0009939705738564206,0.6864233812219153
0,alpha178,-0.14236613813827456,-0.00021272338547749522,0.8013819449078865
0,alpha179,-0.20235285858579183,-0.00017429184468572927,0.8968919148674951
0,alpha183,-0.07946578300389097,-7.815414680595786e-05,0.9233749932911538
0,alpha184,-1.5647985392347403,-0.001756793388672363,0.7217234565735742
0,alpha185,1.608962081518354,0.00230189952889475,2.0107493631819664
0,alpha186,0.7955982913675009,0.0007696139328057994,1.225105482260818
0,alpha187,-0.45781692678445696,-0.0004633065908862986,0.7994768545638621
0,alpha188,0.3044863166632194,0.0003947025928810367,1.0317396354397366
0,alpha189,-0.04735140322388158,-4.6755134141018004e-05,0.9231902531804023
0,alpha191,0.7907419687339255,0.0007190973149008252,1.2266327863624453
