,AlphaName,SP,Pro Daily Mean,Pro Total
0,alpha002,-0.641251914632503,-0.0003679365076714343,0.6882660833210914
0,alpha005,-0.2500053172556924,-0.0001586582570773174,0.8165820076849524
0,alpha006,0.3622092795952229,0.00025011418292060657,1.1526260509294504
0,alpha008,0.014017635613824962,8.460449623955908e-06,0.9510923134341751
0,alpha009,-0.03349991748315382,-2.1654897276241026e-05,0.9174741697738591
0,alpha010,0.2924328575999093,0.00018770478866271485,1.1040132517868375
0,alpha011,-0.037317231362511416,-2.5303480885491836e-05,0.9087593939815497
0,alpha012,0.022702085805891573,1.3831921552581394e-05,0.9537785771343879
0,alpha013,-0.988015896170312,-0.0006007918969781057,0.5724253776685176
0,alpha014,0.6210006560134937,0.00042408752461237976,1.3435833068188332
0,alpha015,-1.4315851569388265,-0.000943219565595337,0.41246498970748013
0,alpha016,-1.3787294123135954,-0.0008489384143025875,0.45805932154160034
0,alpha017,-0.5044395219804315,-0.00034580959531543837,0.6905964487416272
0,alpha018,-0.2963155325126869,-0.00019591503940747515,0.785537185482387
0,alpha019,0.3858092188107042,0.0002908744342982165,1.1253860656971144
0,alpha020,0.5785078016832859,0.0003669738376588395,1.294603326675626
0,alpha022,-0.7525054720622777,-0.0004311219118336259,0.6552149388455765
0,alpha024,0.24330227292541765,0.00016041747526218176,1.07334183698064
0,alpha025,1.5330183310571543,0.000998571670496837,2.2099076866445477
0,alpha026,-0.6547672345365037,-0.00039580127631698046,0.6690445612932748
0,alpha028,1.0329680934641485,0.0006744818838078596,1.6903137411200326
0,alpha029,0.23064291792600763,0.00014428299581852245,1.0655146938629039
0,alpha030,0.3328566609875758,0.0002061040979732236,1.1243690987994435
0,alpha031,0.9008257985325809,0.0005326648735912939,1.4975498072569768
0,alpha032,1.6895410279572243,0.001028544962389111,2.314943453212204
0,alpha033,0.46193536459023654,0.00039891732578711364,1.2604708288651034
0,alpha034,0.38602194403410306,0.00025932704960774847,1.168443430431709
0,alpha035,1.367092987124515,0.001014408482048552,1.8226026168697014
0,alpha036,1.0390212616682648,0.0006176107862423363,1.4573583493477118
0,alpha037,1.2143192578152622,0.0008448100426857745,1.945801239700372
0,alpha038,0.19346948773488534,0.00014383771657322498,1.0380078225771217
0,alpha039,0.6816715039435465,0.0004449303465814439,1.260506394121675
0,alpha040,0.3626689363694007,0.0002233118664369757,1.1436874338527458
0,alpha041,0.14380921320401097,9.643169224713844e-05,1.012421964371253
0,alpha042,1.1333936143469439,0.0008167836431711938,1.888174910179283
0,alpha043,-0.5732238989303644,-0.0003563913973635697,0.7024271888055148
0,alpha044,-0.7141426016172359,-0.00041944276572605674,0.6552468465247729
0,alpha045,0.20299152823380465,0.00011846511048443733,1.0495752302958874
0,alpha047,0.17254127581493278,0.0001160619480058575,1.0296124257649917
0,alpha049,0.6787336221055601,0.0004983019759609708,1.4025684349656364
0,alpha050,-1.161224280478618,-0.0008236993716969663,0.4688371418361334
0,alpha051,0.029381987392632758,2.5737725018414687e-05,0.9137533972826206
0,alpha052,1.0349851523031912,0.0006348494743573386,1.436817067319301
0,alpha053,-0.09864232317537328,-6.113262207666391e-05,0.8920012084300498
0,alpha054,-0.06986212391626334,-4.948603325524329e-05,0.8833904335851294
0,alpha055,0.02225551325786453,1.252360456454035e-05,0.9618303998821753
0,alpha057,0.05195111453741938,3.246451147433428e-05,0.9676313309979335
0,alpha060,-0.6841665824463281,-0.00047727633673174964,0.6108110103516644
0,alpha066,-0.10805412346437002,-6.201652287851509e-05,0.8998200580003526
0,alpha071,-0.5418664404935444,-0.0002973804076038404,0.7882387585714937
0,alpha072,-0.0688556457186949,-4.236320515754421e-05,0.9091473351107441
0,alpha073,0.19261364139457604,0.00014246442723442093,1.0310248751989584
0,alpha077,0.49509220105653023,0.0002866349455088002,1.208621443779784
0,alpha078,0.27428590008720305,0.0001782275787573837,1.0903298008352598
0,alpha083,0.3778215166659289,0.0002553759135194677,1.1624472784823916
0,alpha084,0.4597544474419617,0.00032114686446574033,1.2016636993990886
0,alpha085,-0.07677483390175088,-4.5119502992793934e-05,0.910678553624915
0,alpha088,-1.7277956699899109,-0.0011079991955446546,0.45672216217026257
0,alpha094,0.23352082410152367,0.00015702637346080706,1.0605610751344872
0,alpha098,0.820464326250519,0.0005078710309286178,1.4489135134041196
0,alpha101,0.6704963499666198,0.0005165876101027548,1.4325567573297462
