,IC Mean,IC Std.,Risk-Adjusted IC,t-stat(IC),p-value(IC),IC Skew,IC Kurtosis,AlphaName
1D,0.015936737677910606,0.13632977264238977,0.11689843948991746,3.4241466591170755,0.0006460013965271462,0.187055444843523,0.3858711368107284,alpha035
1D,0.01607659923905897,0.12947830773933164,0.12416442197734548,3.6517852055532494,0.0002760892860565005,0.1373587392358837,0.302929889502646,alpha037
1D,0.021923891101210315,0.13481855762074665,0.16261775447029808,4.757785321242608,2.2970915060688743e-06,0.030542119526462384,-0.02921309227059199,alpha039
1D,-0.02988386312106751,0.13985588718687494,-0.21367611848285512,-6.247971549748265,6.554442446522e-10,0.14174661074922082,-0.2578374153623617,alpha040
1D,0.00796438995445382,0.1423732055630684,0.055940230628057044,1.6528421305662404,0.09872296067502183,-0.08200716544714695,-0.2121166567133952,alpha041
1D,0.02208028941062242,0.13584030792188362,0.1625459316782462,4.797170801356243,1.8929631561210631e-06,-0.024154951007154847,-0.049181523821582473,alpha042
1D,-0.022615160615030324,0.14474461406304434,-0.1562418108709742,-4.619053369224788,4.434856202264983e-06,-0.06155267737599304,-0.0462790720358468,alpha043
1D,-0.020888744714395276,0.1459772783312746,-0.14309586363838933,,,,,alpha044
1D,-0.02192147969526026,0.13396914164249002,-0.1636308139807293,-4.815307620904459,1.7345707518202745e-06,0.1021625201333152,0.21407704969981456,alpha045
1D,0.05102266744714655,0.19897097421638307,0.25643271662156536,7.506955547883979,1.5190970073385217e-13,-0.09796862291309291,0.41545324947390005,alpha046
1D,0.009170331768104719,0.17714289991134372,0.05176798941811541,1.5313177780411376,0.12605272959250688,0.07767335870737344,0.18861963955575067,alpha047
1D,0.029226151780255106,0.14128991221597448,0.20685235995886442,6.069627738543355,1.920973817807774e-09,-0.010618783228918752,-0.057462188126280456,alpha048
1D,0.03721287652904964,0.15778559401029857,0.23584457606833728,6.948415100209617,7.255675259827585e-12,-0.00985888796726158,-0.08545230046703223,alpha049
1D,-0.037213034300707874,0.1577854288067656,-0.23584582291360628,-6.948451834565101,7.253886295785266e-12,0.009858633295546645,-0.08544464133100416,alpha050
1D,-0.037213416523064875,0.15778559200971573,-0.23584800138642215,-6.9485160163820385,7.25076167875044e-12,0.009864549964170381,-0.08545585075772388,alpha051
1D,-0.036727335642432225,0.17198573983819593,-0.21354872605708636,-6.240593871909647,6.860576902161242e-10,0.03846072521639671,-0.06471375802356683,alpha052
1D,-0.011874566033258475,0.14945398153887823,-0.07945299222536593,-2.3448730487969485,0.019257502319176334,0.08107193379043622,-0.052208183984374656,alpha054
1D,-0.02470184178053331,0.14753054088763123,-0.16743544510792396,-4.910171108983902,1.0891004366546207e-06,0.01676947304561133,-0.07042192767486677,alpha055
1D,-0.02640414666087828,0.17126475096052035,-0.1541715181483253,-4.552630372775171,6.051158396643283e-06,-0.040761077444556724,0.20574610449690134,alpha057
1D,-0.002975357183068862,0.14126841404813195,-0.021061729921135235,,,,,alpha058
1D,-0.00036086618661702934,0.1510859980632224,-0.002388481998616601,-0.0700440417282967,0.9441749079865113,0.04448914741887643,-0.1966974272549482,alpha059
1D,-0.004496504041810918,0.15250115666596045,-0.02948504877022074,-0.8651739333485251,0.38718460026018875,0.06759759112324934,-0.038452991257103886,alpha060
1D,0.015434536593515649,0.13432798149080039,0.11490187243357558,3.36370202714979,0.0008032056483909191,0.09482312846172448,0.04980861406493897,alpha061
1D,0.02929217513949524,0.12097661100819493,0.24213089534729149,7.166420064575656,1.6356736055847088e-12,-0.0884936727786592,-0.10069782322298115,alpha062
1D,-0.04549515159000602,0.16453275235411083,-0.2765112170012838,-8.188654553273373,9.292946002528429e-16,0.06888567186511273,0.34475477260455767,alpha063
1D,0.04360144827937718,0.19220502911380247,0.22684863388023654,6.710273083613169,3.4892047107908445e-11,0.0005405106978699799,0.1698029541521313,alpha065
1D,-0.04360144827937718,0.19220502911380247,-0.22684863388023654,-6.710273083613169,3.4892047107908445e-11,-0.0005405106978699799,0.1698029541521313,alpha066
1D,-0.03481833149242175,0.1729410264235788,-0.2013306628997468,-5.9622436563211965,3.604916469993342e-09,0.03003192712125868,-0.07698768549845525,alpha067
