,IC Mean,IC Std.,Risk-Adjusted IC,t-stat(IC),p-value(IC),IC Skew,IC Kurtosis,AlphaName
1D,0.0283683221072365,0.09866603288826717,0.28751862496956543,5.432504451398735,1.0320197413624476e-07,-0.18366392161597794,-0.16955390248230806,alpha001
1D,0.0199485718632657,0.1389795078593974,0.14353606636344723,2.7309599135921565,0.006624922089400125,0.18846328020296807,0.4568508664246145,alpha002
1D,-0.0009531991137519758,0.12335487966632609,-0.0077272915050492635,-0.1460028737368902,0.8840017555334632,0.03828810493492,-0.3226709476408236,alpha003
1D,0.017051350910094912,0.11773515770753556,0.14482802963964223,,,,,alpha005
1D,0.0008122814992867723,0.13738544044142373,0.005912427813870861,0.11218043035897197,0.9107430427392831,0.08699293197811887,-0.14216820600430857,alpha007
1D,0.007274769215565235,0.13357670423290469,0.05446136178716409,1.0318955053922578,0.30281767048432373,0.05965336683549374,0.3159596720276032,alpha008
1D,-0.008247337679728706,0.13184249883264887,-0.06255447031686852,-1.1901799678611151,0.23475775777661914,0.12479024030604301,-0.19617630843106193,alpha009
1D,0.02378052995156368,0.15570697562148494,0.15272616950298254,,,,,alpha010
1D,0.00023187468548925723,0.16999071229187937,0.0013640432607348637,0.025808909665887076,0.9794241756006754,-0.14208795735266302,-0.01990090323226701,alpha011
1D,0.002091815063538094,0.12412655074271309,0.0168522773816052,0.3170737067987239,0.7513751193710196,-0.02805836574128973,0.24608035868737232,alpha012
1D,-0.00972358335465386,0.1173524052767641,-0.08285798089712558,-1.578656559990322,0.11528824337870874,0.06884747380219394,0.06590263855224343,alpha013
1D,-0.013136530823109484,0.13502257101820794,-0.09729136931734182,-1.8408390952563822,0.06647480961299883,0.06902756357457814,0.02522913873332966,alpha014
1D,0.00943846639169811,0.09138745801907933,0.10327966874543773,,,,,alpha016
1D,0.011298228074849627,0.13120348539241752,0.08611225563907597,1.608709693936759,0.10858661290854027,-0.010588576235590536,0.06999704768019965,alpha017
1D,-0.025736844746075415,0.19974127513725506,-0.12885090839832666,-2.4379735972804295,0.015257046941534519,-0.02602340190374932,0.03837168583633588,alpha018
1D,-0.029405765727321252,0.20423270837361834,-0.14398166660712866,-2.7204534831294183,0.006839183365162458,0.07401022863978832,0.14638463315172112,alpha020
1D,-0.01597639197172401,0.13883963033239363,-0.1150708334030795,-2.1619846750446645,0.031292718936232,0.21633434948855013,-0.09721299551459728,alpha021
