,IC Mean,IC Std.,Risk-Adjusted IC,t-stat(IC),p-value(IC),IC Skew,IC Kurtosis,AlphaName
1D,0.0208240869719878,0.0752775424152698,0.2766308025454841,5.2194595435195446,3.0602437628602437e-07,0.12435582081145954,-0.11003627930647975,alpha002
1D,0.018124139830372022,0.06833632727129736,0.2652196943277127,,,,,alpha003
1D,0.008836902509549896,0.11440426812617667,0.07724276947258349,1.4533140349805045,0.1470249797490355,0.057900957173011254,0.02144333757412209,alpha005
1D,0.018665486695352933,0.10280890666566873,0.18155515218202348,3.4159398036965665,0.0007096771905064878,-0.1202655501148449,0.9905601789951457,alpha006
1D,0.014203853128590628,0.10576005347550509,0.13430262808897275,2.5053830400237236,0.012689411878239427,0.145198217317953,0.3380835555274255,alpha008
1D,0.015779394491517423,0.10846965017420718,0.1454728992503894,2.76781067248207,0.0059342863453384544,0.10200659293920071,0.15767324120730697,alpha009
1D,0.017433212304042826,0.10199396489912761,0.17092395928802584,3.2520501147503076,0.0012536980838112688,0.13011314886861935,-0.2942230496314928,alpha010
1D,0.003116807254324473,0.10850820313315146,0.028724162453412014,0.5450026634008331,0.5860900926068713,0.20425619421250082,0.7909391055556956,alpha011
1D,0.0173600080238962,0.08913979972004488,0.19475035930546805,3.705378291991039,0.0002441483082183721,-0.010797898263468794,0.6948225045103542,alpha012
1D,0.03847310840490283,0.07658294209836702,0.5023717730181483,,,,,alpha013
1D,0.020273446047064433,0.10582102679755322,0.19158239775776956,3.6046013033674256,0.0003575867142880452,-0.03229706603266142,1.4739488180938096,alpha014
1D,0.03462301898537156,0.077814444353807,0.4449433427545597,,,,,alpha015
1D,0.04620480701375482,0.08888317154338317,0.5198375149248878,,,,,alpha016
1D,0.026970313912595908,0.11329995997443727,0.23804345490219897,4.389304430476837,1.5210739325883378e-05,0.38932248192574676,0.999700249466664,alpha017
1D,-0.001160722744681815,0.11109067222224328,-0.010448426690224022,-0.19796942614467994,0.8431813478612622,0.03749990293665433,-0.06651235679828771,alpha018
1D,0.018895648288371286,0.17318651582198816,0.10910577072751672,1.1598102518442988,0.2485925739415392,-0.012549073150110779,-0.12413622008717606,alpha019
